"","Correlation","Protein"
"SLC12A2",0.868131868131868,"SLC12A2"
"KDM1A",-0.0549450549450549,"KDM1A"
"SOX2",0.872727272727273,"SOX2"
"SRP14",0.459340659340659,"SRP14"
"SLC15A4",0.63956043956044,"SLC15A4"
"NUP133",0.613186813186813,"NUP133"
"IRS2",0.805747367330808,"IRS2"
"RPL4",0.0549450549450549,"RPL4"
"KHSRP",0.393406593406593,"KHSRP"
"FUBP3",0.362637362637363,"FUBP3"
"FUBP1",0.249579939622461,"FUBP1"
"MMP14",0.375824175824176,"MMP14"
"MMP15",-0.503496503496504,"MMP15"
"SH3RF1",0.507692307692308,"SH3RF1"
"MTMR14",-0.0272727272727273,"MTMR14"
"SAMD1",0.753846153846154,"SAMD1"
"CLPX",0.16043956043956,"CLPX"
"ATXN7",0.432967032967033,"ATXN7"
"CACTIN",0.21978021978022,"CACTIN"
"NCL",0.267686028260347,"NCL"
"UNC119B",0.516483516483517,"UNC119B"
"UNC119",0.54945054945055,"UNC119"
"RBM42",0.397802197802198,"RBM42"
"RCC2",0.476923076923077,"RCC2"
"CHPF2",0.384615384615385,"CHPF2"
"RANBP6",0.49010989010989,"RANBP6"
"IPO5",0.810989010989011,"IPO5"
"SORT1",0.683516483516484,"SORT1"
"LEMD3",0.745054945054945,"LEMD3"
"GLRX5",-0.0021978021978022,"GLRX5"
"RHBDF1",0.395604395604396,"RHBDF1"
"RIN1",0.81978021978022,"RIN1"
"PRDX5",0.257142857142857,"PRDX5"
"NCOA2",0.652747252747253,"NCOA2"
"NCOA1",0.727272727272727,"NCOA1"
"NCOA3",0.345054945054945,"NCOA3"
"PDLIM3",0.724375455649346,"PDLIM3"
"EP400",0.591208791208791,"EP400"
"MSH6",0.621978021978022,"MSH6"
"MSH3",0.601323044605402,"MSH3"
"UBQLN4",0.156043956043956,"UBQLN4"
"UBQLN1",0.464693688529769,"UBQLN1"
"UBQLN2",0.270627226468543,"UBQLN2"
"SH3PXD2B",0.85054945054945,"SH3PXD2B"
"SH3PXD2A",0.336363636363636,"SH3PXD2A"
"TRUB1",0.714285714285714,"TRUB1"
"ZBTB11",0.131868131868132,"ZBTB11"
"MICAL1",0.643956043956044,"MICAL1"
"MICAL3",0.481318681318681,"MICAL3"
"MICAL2",0.673408219802036,"MICAL2"
"PDCD7",-0.461538461538462,"PDCD7"
"FAM110A",0.872727272727273,"FAM110A"
"ZFPL1",0.736263736263736,"ZFPL1"
"E2F5",0.427272727272727,"E2F5"
"E2F4",0.384615384615385,"E2F4"
"EDC4",0.683516483516484,"EDC4"
"MAGED2",0.683516483516484,"MAGED2"
"MAGED1",0.679120879120879,"MAGED1"
"TRO",0.289657652252109,"TRO"
"NCKIPSD",0.524053408391292,"NCKIPSD"
"PFDN4",0.582417582417582,"PFDN4"
"TDP2",0.343234531130835,"TDP2"
"INPPL1",0.564835164835165,"INPPL1"
"INPP5D",0.495186163092657,"INPP5D"
"TXLNG",0.767032967032967,"TXLNG"
"TXLNA",0.520879120879121,"TXLNA"
"YLPM1",0.530111170418574,"YLPM1"
"N4BP2L2",0.116483516483516,"N4BP2L2"
"CNP",0.630769230769231,"CNP"
"RPF1",0.213186813186813,"RPF1"
"IPO9",0.696703296703297,"IPO9"
"CDC27",0.714285714285714,"CDC27"
"CAMSAP1",0.701098901098901,"CAMSAP1"
"CAMSAP3",0.696703296703297,"CAMSAP3"
"CAMSAP2",0.767032967032967,"CAMSAP2"
"U2SURP",0.375824175824176,"U2SURP"
"SRSF9",0.248351648351648,"SRSF9"
"SRSF1",-0.164835164835165,"SRSF1"
"EXOSC10",0.52967032967033,"EXOSC10"
"TMEM102",0.573426573426573,"TMEM102"
"B3GAT3",0.564835164835165,"B3GAT3"
"IFT20",0.542857142857143,"IFT20"
"TOP2B",0.595604395604396,"TOP2B"
"TOP2A",0.67032967032967,"TOP2A"
"PPM1A",0.375824175824176,"PPM1A"
"PPM1B",0.485714285714286,"PPM1B"
"HYPK",0.0153846153846154,"HYPK"
"TOX4",0.0637362637362637,"TOX4"
"DOCK5",-0.0769230769230769,"DOCK5"
"DOCK1",0.56043956043956,"DOCK1"
"TFRC",0.586813186813187,"TFRC"
"TFR2",0.255846184264539,"TFR2"
"FH",0.389010989010989,"FH"
"TLN1",0.806593406593407,"TLN1"
"TLN2",0.30989010989011,"TLN2"
"RPL17",-0.0417582417582418,"RPL17"
"TACC2",0.758241758241758,"TACC2"
"TACC1",0.731868131868132,"TACC1"
"SH3BP4",0.727472527472527,"SH3BP4"
"MAU2",0.331868131868132,"MAU2"
"IGFBP7",0.815384615384615,"IGFBP7"
"NSUN5",0.534065934065934,"NSUN5"
"CBR4",0.243956043956044,"CBR4"
"CTNNA1",-0.186813186813187,"CTNNA1"
"CTNNA2",-0.150947232922199,"CTNNA2"
"EFHD2",0.859340659340659,"EFHD2"
"EFHD1",0.640893759327403,"EFHD1"
"EGLN1",0.49010989010989,"EGLN1"
"MRPL11",0.38021978021978,"MRPL11"
"STRIP1",0.41978021978022,"STRIP1"
"DNTTIP1",0.0593406593406593,"DNTTIP1"
"ATF7",0.410989010989011,"ATF7"
"CREB5",0.241758241758242,"CREB5"
"ATF2",0.0373626373626374,"ATF2"
"EHBP1L1",0.617582417582418,"EHBP1L1"
"EHBP1",0.876923076923077,"EHBP1"
"BAZ2A",0.230769230769231,"BAZ2A"
"ARID1A",0.415384615384615,"ARID1A"
"ARID1B",0.116483516483516,"ARID1B"
"PPP1R35",0.622377622377623,"PPP1R35"
"FYCO1",0.437362637362637,"FYCO1"
"BLOC1S4",0.0164835164835165,"BLOC1S4"
"GYS1",0.696703296703297,"GYS1"
"NDUFA8",-0.0241758241758242,"NDUFA8"
"ACBD6",0.450549450549451,"ACBD6"
"SFXN2",0.835164835164835,"SFXN2"
"OAS2",0.70989010989011,"OAS2"
"NCOR2",0.433309321326662,"NCOR2"
"NCOR1",0.535298636419134,"NCOR1"
"SEMA7A",0.870526719214576,"SEMA7A"
"SDAD1",0.485714285714286,"SDAD1"
"POSTN",-0.171996530703259,"POSTN"
"PRKAG2",0.274725274725275,"PRKAG2"
"PRKAG1",0.67032967032967,"PRKAG1"
"GADD45GIP1",-0.2,"GADD45GIP1"
"DHX30",0.538461538461538,"DHX30"
"SPTLC1",0.217582417582418,"SPTLC1"
"CKAP5",0.49010989010989,"CKAP5"
"TRAPPC11",0.0153846153846154,"TRAPPC11"
"SH2B1",0.230769230769231,"SH2B1"
"ACAD10",0.498901098901099,"ACAD10"
"ALDH2",0.916483516483517,"ALDH2"
"ALDH1B1",0.178021978021978,"ALDH1B1"
"ALDH1A2",-0.250825234287918,"ALDH1A2"
"ALDH1A1",0.863736263736264,"ALDH1A1"
"SMTN",0.657142857142857,"SMTN"
"ALDH1A3",0.753846153846154,"ALDH1A3"
"TTC5",0.424175824175824,"TTC5"
"NSRP1",0.30989010989011,"NSRP1"
"STIP1",0.0681318681318681,"STIP1"
"ST13",-0.120879120879121,"ST13"
"TSC1",0.230769230769231,"TSC1"
"NNT",0.336263736263736,"NNT"
"RFC1",0.314285714285714,"RFC1"
"UBXN4",0.705494505494506,"UBXN4"
"ANK3",0.655825759754985,"ANK3"
"ANK1",0.701098901098901,"ANK1"
"ANK2",0.729731932378202,"ANK2"
"AFG3L2",0.450549450549451,"AFG3L2"
"CROCC",0.142857142857143,"CROCC"
"CEP250",0.476923076923077,"CEP250"
"EZR",0.736263736263736,"EZR"
"SPECC1L",0.301098901098901,"SPECC1L"
"RDX",0.928493411135977,"RDX"
"MYO1B",0.564835164835165,"MYO1B"
"MYH14",0.723076923076923,"MYH14"
"MYO5A",0.832413934615075,"MYO5A"
"MYO1D",0.841758241758242,"MYO1D"
"NUMA1",0.361768492924322,"NUMA1"
"MYO5B",0.824175824175824,"MYO5B"
"MYO1E",0.547252747252747,"MYO1E"
"TRMT1",0.657142857142857,"TRMT1"
"MYO1G",0.198238366353429,"MYO1G"
"MYO5C",0.648351648351648,"MYO5C"
"GOLGA4",0.264290433821526,"GOLGA4"
"MYH10",0.639037051278277,"MYH10"
"MYH9",0.630769230769231,"MYH9"
"MYH3",0.190909090909091,"MYH3"
"MYH11",-0.279120879120879,"MYH11"
"MSN",0.828571428571429,"MSN"
"STMN2",0.601535987913837,"STMN2"
"STMN1",0.296703296703297,"STMN1"
"STMN3",0.172727272727273,"STMN3"
"OTUD4",0.846153846153846,"OTUD4"
"MYO1C",0.547252747252747,"MYO1C"
"POLE2",-0.195804195804196,"POLE2"
"EXOC5",0.635164835164835,"EXOC5"
"PYCR1",0.789010989010989,"PYCR1"
"PYCR2",0.301098901098901,"PYCR2"
"BRD4",-0.103296703296703,"BRD4"
"BRD2",-0.173626373626374,"BRD2"
"BRD3",0.508251132636044,"BRD3"
"ZNF579",0.789879465871601,"ZNF579"
"BCAR1",0.643956043956044,"BCAR1"
"DCTN1",0.625056454672647,"DCTN1"
"SCYL1",0.731868131868132,"SCYL1"
"EFNB1",0.740659340659341,"EFNB1"
"MUS81",-0.0454545454545455,"MUS81"
"CTNND1",0.227036338140262,"CTNND1"
"DIDO1",-0.0021978021978022,"DIDO1"
"PHF3",0.389010989010989,"PHF3"
"RBM39",0.384615384615385,"RBM39"
"RBM23",0.397802197802198,"RBM23"
"RAB3GAP1",0.0549450549450549,"RAB3GAP1"
"ZNF827",0.631868131868132,"ZNF827"
