"","Correlation","Tissue","Protein"
"SLC12A2 Bladder",0.645454545454545,"Bladder","SLC12A2"
"KDM1A Bladder",0.590909090909091,"Bladder","KDM1A"
"SRP14 Bladder",0.463636363636364,"Bladder","SRP14"
"SLC15A4 Bladder",0.827272727272727,"Bladder","SLC15A4"
"NUP133 Bladder",0.3,"Bladder","NUP133"
"IRS2 Bladder",0.645454545454545,"Bladder","IRS2"
"RPL4 Bladder",-0.6,"Bladder","RPL4"
"KHSRP Bladder",0.190909090909091,"Bladder","KHSRP"
"FUBP3 Bladder",0.372727272727273,"Bladder","FUBP3"
"FUBP1 Bladder",0.080724720202036,"Bladder","FUBP1"
"MMP14 Bladder",0.281818181818182,"Bladder","MMP14"
"MMP15 Bladder",0.590909090909091,"Bladder","MMP15"
"SH3RF1 Bladder",0.109090909090909,"Bladder","SH3RF1"
"SAMD1 Bladder",-0.1,"Bladder","SAMD1"
"CLPX Bladder",0.354545454545455,"Bladder","CLPX"
"ATXN7 Bladder",0.227272727272727,"Bladder","ATXN7"
"NCL Bladder",0.280811599958282,"Bladder","NCL"
"UNC119B Bladder",0.446470406626641,"Bladder","UNC119B"
"RBM42 Bladder",0.509090909090909,"Bladder","RBM42"
"RCC2 Bladder",0.627272727272727,"Bladder","RCC2"
"IPO5 Bladder",0.727272727272727,"Bladder","IPO5"
"SORT1 Bladder",0.645454545454545,"Bladder","SORT1"
"LEMD3 Bladder",0.745454545454545,"Bladder","LEMD3"
"GLRX5 Bladder",0.190909090909091,"Bladder","GLRX5"
"RIN1 Bladder",0.554545454545455,"Bladder","RIN1"
"PRDX5 Bladder",0.190909090909091,"Bladder","PRDX5"
"NCOA2 Bladder",0.490909090909091,"Bladder","NCOA2"
"NCOA3 Bladder",0.590909090909091,"Bladder","NCOA3"
"PDLIM3 Bladder",0.414579663296167,"Bladder","PDLIM3"
"EP400 Bladder",0.572727272727273,"Bladder","EP400"
"MSH6 Bladder",0.336363636363636,"Bladder","MSH6"
"MSH3 Bladder",0.390909090909091,"Bladder","MSH3"
"UBQLN4 Bladder",0.881818181818182,"Bladder","UBQLN4"
"UBQLN1 Bladder",0.501379312965357,"Bladder","UBQLN1"
"UBQLN2 Bladder",0.236363636363636,"Bladder","UBQLN2"
"SH3PXD2B Bladder",0.681818181818182,"Bladder","SH3PXD2B"
"TRUB1 Bladder",0.836363636363636,"Bladder","TRUB1"
"MICAL3 Bladder",0.436363636363636,"Bladder","MICAL3"
"MICAL2 Bladder",0.52398880727789,"Bladder","MICAL2"
"ZFPL1 Bladder",0.154545454545455,"Bladder","ZFPL1"
