"","Correlation","Protein"
"SRP14",0.300764082621438,"SRP14"
"ZFP91",0.229796062258557,"ZFP91"
"IRS2",0.591870858966231,"IRS2"
"RPL4",0.261061214799931,"RPL4"
"SAMD1",0.540835059990492,"SAMD1"
"CLPX",0.30943652058478,"CLPX"
"CACTIN",0.604802174569616,"CACTIN"
"UNC119B",0.154242313539315,"UNC119B"
"RBM42",0.256936622775338,"RBM42"
"RCC2",0.698586145942558,"RCC2"
"PNPT1",0.482012686477984,"PNPT1"
"MSL1",0.284007327271084,"MSL1"
"EP400",0.0861785180022348,"EP400"
"MSH6",0.590636761888184,"MSH6"
"PSMD4",0.122284146151736,"PSMD4"
"SH3PXD2B",0.542307822725577,"SH3PXD2B"
"SELENOS",0.41700781350805,"SELENOS"
"TRUB1",0.519972739660352,"TRUB1"
"COQ8B",0.42792308771398,"COQ8B"
"GNG2",0.673559924667987,"GNG2"
"EDC4",0.56704015561586,"EDC4"
"MAGED2",0.644544753179731,"MAGED2"
"PFDN4",0.151392356284042,"PFDN4"
"INPPL1",0.435990822097662,"INPPL1"
"CDC27",0.241070033968259,"CDC27"
"U2SURP",0.320313343796468,"U2SURP"
"EXOSC10",0.218389534061548,"EXOSC10"
"TFRC",0.442425286378072,"TFRC"
"FH",0.563555066029077,"FH"
"TLN1",0.707988324684887,"TLN1"
"TOMM70",0.404819954454947,"TOMM70"
"B3GALT6",0.413973253673737,"B3GALT6"
"CBR4",0.111088824615737,"CBR4"
"CTNNA1",0.439976321917584,"CTNNA1"
"EFHD2",0.64578748841104,"EFHD2"
"EFHD1",0.717600465928946,"EFHD1"
"UNC45A",0.426790911181449,"UNC45A"
"EGLN1",0.558433472453262,"EGLN1"
"CANT1",0.607624266450227,"CANT1"
"PLEC",0.8552909213614,"PLEC"
"RUFY1",0.582290304590877,"RUFY1"
"STRIP1",0.249257701395316,"STRIP1"
"ARID1A",0.58445183251596,"ARID1A"
"ARID1B",0.338922017868726,"ARID1B"
"EPPK1",0.635504119412776,"EPPK1"
"ACBD6",0.344700665260037,"ACBD6"
"SFXN2",0.366710167766506,"SFXN2"
"POSTN",0.0582789631458297,"POSTN"
"GADD45GIP1",-0.0315992947473541,"GADD45GIP1"
