"","Correlation","Protein"
"ENSG00000000003.15",0.684439750109766,"ENSG00000000003.15"
"ENSG00000000005.6",-0.21605484522506,"ENSG00000000005.6"
"ENSG00000000419.12",0.153288593744658,"ENSG00000000419.12"
"ENSG00000000457.14",0.496730028002552,"ENSG00000000457.14"
"ENSG00000000460.17",0.286912436388471,"ENSG00000000460.17"
"ENSG00000000938.13",0.447064753808512,"ENSG00000000938.13"
"ENSG00000000971.16",0.464787565161628,"ENSG00000000971.16"
"ENSG00000001036.14",0.305006099888251,"ENSG00000001036.14"
"ENSG00000001084.13",0.461114056325943,"ENSG00000001084.13"
"ENSG00000001167.14",0.397803450434202,"ENSG00000001167.14"
"ENSG00000001461.17",0.164250898698519,"ENSG00000001461.17"
"ENSG00000001497.16",-0.091654031215895,"ENSG00000001497.16"
"ENSG00000001561.7",0.510329927915133,"ENSG00000001561.7"
"ENSG00000001617.12",0.361313893547351,"ENSG00000001617.12"
"ENSG00000001626.16",0.422544035461247,"ENSG00000001626.16"
"ENSG00000001629.10",0.498167400079316,"ENSG00000001629.10"
"ENSG00000001630.17",0.579360452677246,"ENSG00000001630.17"
"ENSG00000001631.15",0.203296703296703,"ENSG00000001631.15"
"ENSG00000002016.18",0.0681115842003871,"ENSG00000002016.18"
"ENSG00000002330.13",0.299586586570567,"ENSG00000002330.13"
"ENSG00000002549.12",0.490985244085722,"ENSG00000002549.12"
"ENSG00000002586.20",0.497270775167995,"ENSG00000002586.20"
"ENSG00000002726.20",0.828908863465836,"ENSG00000002726.20"
"ENSG00000002822.15",0.258796462366611,"ENSG00000002822.15"
"ENSG00000002834.18",0.397154746032747,"ENSG00000002834.18"
"ENSG00000002919.14",-0.0248264436336385,"ENSG00000002919.14"
"ENSG00000002933.9",0.814368599311463,"ENSG00000002933.9"
"ENSG00000003056.8",0.214766456088159,"ENSG00000003056.8"
"ENSG00000003096.14",0.500356968170736,"ENSG00000003096.14"
"ENSG00000003147.19",0.466973956514241,"ENSG00000003147.19"
"ENSG00000003249.14",0.492529136655873,"ENSG00000003249.14"
"ENSG00000003393.15",0.0278360586397993,"ENSG00000003393.15"
"ENSG00000003400.15",0.747435008117119,"ENSG00000003400.15"
"ENSG00000003402.20",0.504470616611532,"ENSG00000003402.20"
"ENSG00000003436.16",0.708645980645494,"ENSG00000003436.16"
"ENSG00000003509.16",0.247834240996898,"ENSG00000003509.16"
"ENSG00000003756.17",0.288358000035257,"ENSG00000003756.17"
"ENSG00000003987.14",0.470160616192978,"ENSG00000003987.14"
"ENSG00000003989.18",0.343851897940976,"ENSG00000003989.18"
"ENSG00000004059.11",0.310809226629438,"ENSG00000004059.11"
"ENSG00000004139.14",0.456883383813184,"ENSG00000004139.14"
"ENSG00000004142.12",0.516658922605615,"ENSG00000004142.12"
"ENSG00000004399.12",0.695042654435213,"ENSG00000004399.12"
"ENSG00000004455.17",0.307141513766687,"ENSG00000004455.17"
"ENSG00000004468.13",0.724057867441372,"ENSG00000004468.13"
"ENSG00000004478.8",0.581951445764099,"ENSG00000004478.8"
"ENSG00000004487.17",0.427081199009469,"ENSG00000004487.17"
"ENSG00000004534.15",0.256548819238115,"ENSG00000004534.15"
"ENSG00000004660.15",0.217236172828667,"ENSG00000004660.15"
"ENSG00000004700.16",0.370892987347937,"ENSG00000004700.16"
"ENSG00000004766.17",0.323387153342431,"ENSG00000004766.17"
"ENSG00000004776.13",0.401196904556226,"ENSG00000004776.13"
"ENSG00000004779.10",0.401704035822998,"ENSG00000004779.10"
"ENSG00000004799.8",0.731621882446286,"ENSG00000004799.8"
"ENSG00000004838.14",0.656337191646448,"ENSG00000004838.14"
"ENSG00000004864.14",0.594113344813127,"ENSG00000004864.14"
