"","Correlation","Protein","Tissue"
"1",0.515721766186907,"ENSG00000000003.15","Breast"
"2",0.268096621798904,"ENSG00000000005.6","Breast"
"3",0.145788276670256,"ENSG00000000419.12","Breast"
"4",0.529495350878563,"ENSG00000000457.14","Breast"
"5",0.125708502024291,"ENSG00000000460.17","Breast"
"6",0.650596852957135,"ENSG00000000938.13","Breast"
"7",0.535957918236641,"ENSG00000000971.16","Breast"
"8",0.333448496704878,"ENSG00000001036.14","Breast"
"9",0.666524405083773,"ENSG00000001084.13","Breast"
"10",0.151323466514558,"ENSG00000001167.14","Breast"
"11",0.207248192546928,"ENSG00000001461.17","Breast"
"12",0.46261042914782,"ENSG00000001497.16","Breast"
"13",0.697725225088662,"ENSG00000001561.7","Breast"
"14",0.563350274676724,"ENSG00000001617.12","Breast"
"15",0.305898854159985,"ENSG00000001626.16","Breast"
"16",0.284457165207416,"ENSG00000001629.10","Breast"
"17",0.514978457792316,"ENSG00000001630.17","Breast"
"18",0.216256157635468,"ENSG00000002016.18","Breast"
"19",0.143012225950758,"ENSG00000002330.13","Breast"
"20",0.702414521460009,"ENSG00000002549.12","Breast"
"21",0.595617050909336,"ENSG00000002586.20","Breast"
"22",0.522730711293643,"ENSG00000002726.20","Breast"
"23",0.152768275090046,"ENSG00000002822.15","Breast"
"24",0.751665190501832,"ENSG00000002834.18","Breast"
"25",0.54324153140792,"ENSG00000002919.14","Breast"
"26",0.719298245614035,"ENSG00000002933.9","Breast"
"27",0.385666309390528,"ENSG00000003056.8","Breast"
"28",0.533539731682147,"ENSG00000003096.14","Breast"
"29",0.767125004631556,"ENSG00000003147.19","Breast"
"30",0.445091756491424,"ENSG00000003249.14","Breast"
"31",0.362806814463882,"ENSG00000003393.15","Breast"
"32",0.76845955832543,"ENSG00000003400.15","Breast"
"33",0.513916903432113,"ENSG00000003402.20","Breast"
"34",0.682938229709343,"ENSG00000003436.16","Breast"
"35",0.458909781964879,"ENSG00000003509.16","Breast"
"36",0.311109154158965,"ENSG00000003756.17","Breast"
"37",0.695947432150919,"ENSG00000003989.18","Breast"
"38",0.481644128088484,"ENSG00000004059.11","Breast"
"39",0.559533124014604,"ENSG00000004139.14","Breast"
"40",0.49800833277222,"ENSG00000004142.12","Breast"
"41",0.543313580845429,"ENSG00000004399.12","Breast"
"42",0.460117161612497,"ENSG00000004455.17","Breast"
"43",0.800318385042677,"ENSG00000004468.13","Breast"
"44",0.864387375628664,"ENSG00000004478.8","Breast"
"45",0.21934841410509,"ENSG00000004487.17","Breast"
"46",0.255844241892138,"ENSG00000004534.15","Breast"
"47",0.660520254708034,"ENSG00000004660.15","Breast"
"48",0.529078521620878,"ENSG00000004700.16","Breast"
"49",0.461740652082777,"ENSG00000004766.17","Breast"
"50",0.66286523314218,"ENSG00000004776.13","Breast"
"51",0.459455798472718,"ENSG00000004779.10","Breast"
"52",0.461872724930938,"ENSG00000004799.8","Breast"
"53",0.626300409117475,"ENSG00000004838.14","Breast"
"54",0.754574275686435,"ENSG00000004864.14","Breast"
"55",0.0712328046987282,"ENSG00000004866.20","Breast"
"56",0.432474909678615,"ENSG00000004897.12","Breast"
"57",0.221847209038055,"ENSG00000004939.15","Breast"
"58",0.705326658615766,"ENSG00000004961.15","Breast"
"59",0.466752812639425,"ENSG00000004975.12","Breast"
"60",0.498900293255132,"ENSG00000005001.10","Breast"
"61",0.18314780103888,"ENSG00000005007.13","Breast"
"62",0.169759395485373,"ENSG00000005020.13","Breast"
"63",0.646980520652128,"ENSG00000005022.6","Breast"
"64",0.25178146281095,"ENSG00000005059.16","Breast"
"65",0.261347297357407,"ENSG00000005100.13","Breast"
"66",0.666122476629183,"ENSG00000005108.16","Breast"
"67",0.790443399719259,"ENSG00000005156.12","Breast"
"68",0.397067292471044,"ENSG00000005175.10","Breast"
"69",0.53395675043834,"ENSG00000005187.12","Breast"
"70",0.595303701512235,"ENSG00000005194.15","Breast"
"71",0.118789942970362,"ENSG00000005206.17","Breast"
"72",0.815934182249819,"ENSG00000005243.10","Breast"
"73",0.808659601288158,"ENSG00000005249.13","Breast"
"74",0.0298882577573655,"ENSG00000005302.19","Breast"
