"","Correlation","Tissue","Gene","Protein"
"1",0.597523219814242,"Bladder","SRP14","P37108;SRP14_HUMAN"
"2",0.120743034055728,"Bladder","RPL4","P36578;RL4_HUMAN"
"3",0.520879120879121,"Bladder","SAMD1","Q6SPF0;SAMD1_HUMAN"
"4",0.791537667698658,"Bladder","CLPX","O76031;CLPX_HUMAN"
"5",-0.0526315789473684,"Bladder","RBM42","Q9BTD8;RBM42_HUMAN"
"6",0.0196078431372549,"Bladder","RCC2","Q9P258;RCC2_HUMAN"
"7",0.8328173374613,"Bladder","PNPT1","Q8TCS8;PNPT1_HUMAN"
"8",0.263636363636364,"Bladder","EP400","Q96L91;EP400_HUMAN"
"9",-0.128571428571429,"Bladder","MSH6","P52701;MSH6_HUMAN"
"10",-0.313725490196078,"Bladder","PSMD4","P55036;PSMD4_HUMAN"
"11",0.648351648351648,"Bladder","COQ8B","Q96D53;COQ8B_HUMAN"
"12",0.259803921568627,"Bladder","EDC4","Q6P2E9;EDC4_HUMAN"
"13",0.363636363636364,"Bladder","PFDN4","Q9NQP4;PFD4_HUMAN"
"14",0.0897832817337461,"Bladder","U2SURP","O15042;SR140_HUMAN"
"15",0.0361197110423117,"Bladder","EXOSC10","Q01780;EXOSX_HUMAN"
"16",0.0732714138286894,"Bladder","TFRC","P02786;TFR1_HUMAN"
"17",0.335397316821465,"Bladder","FH","P07954;FUMH_HUMAN"
"18",0.5562435500516,"Bladder","TLN1","Q9Y490;TLN1_HUMAN"
"19",0.756449948400413,"Bladder","TOMM70","O94826;TOM70_HUMAN"
"20",0.178534571723426,"Bladder","CTNNA1","P35221;CTNA1_HUMAN"
"21",0.394607843137255,"Bladder","EFHD2","Q96C19;EFHD2_HUMAN"
"22",0.665934065934066,"Bladder","UNC45A","Q9H3U1;UN45A_HUMAN"
"23",0.67032967032967,"Bladder","CANT1","Q8WVQ1;CANT1_HUMAN"
"24",0.777089783281734,"Bladder","PLEC","Q15149;PLEC_HUMAN"
"25",0.39010989010989,"Bladder","RUFY1","Q96T51;RUFY1_HUMAN"
"26",0.520588235294118,"Bladder","ARID1A","O14497;ARI1A_HUMAN"
"27",0.708823529411765,"Bladder","EPPK1","P58107;EPIPL_HUMAN"
"28",0.318885448916409,"Bladder","GADD45GIP1","Q8TAE8;G45IP_HUMAN"
"29",0.667698658410733,"Bladder","SPTLC1","O15269;SPTC1_HUMAN"
"30",0.420588235294118,"Bladder","CKAP5","Q14008;CKAP5_HUMAN"
"31",0.209494324045408,"Bladder","STIP1","P31948;STIP1_HUMAN"
"32",0.86171310629515,"Bladder","NNT","Q13423;NNTM_HUMAN"
"33",0.86171310629515,"Bladder","CTNND1","O60716;CTND1_HUMAN"
